type	id	name	rank	w2c	tatoeba	wikipedia
h	afr	Afrikaans		afr	afr	
h	amh	Amharic		amh	amh	
h	ara	Arabic		ara	ara	
h	arg	Aragonese		arg	arg	
h	asm	Assamese			asm	
h	ast	Asturian		ast	ast	
h	aze	Azerbaijani		aze	aze	
h	bak	Bashkir			bak	
h	bcl	Central Bikol			bcl	
h	bel	Belarusian		bel	bel	
h	ben	Bengali	5	ben	ben	
h	ber	Berber			ber	
h	bod	Tibetan			bod	https://bo.wikipedia.org/
h	bos	Bosnian		bos	bos	
h	bpy	Bishnupriya		bpy		
h	bre	Breton		bre	bre	
h	bul	Bulgarian		bul	bul	
h	cat	Catalan		cat	cat	
h	ceb	Cebuano		ceb	ceb	
h	ces	Czech		ces	ces	
h	che	Chechen			che	
h	chr	Cherokee			chr	
h	chv	Chuvash		chv	chv	
h	cos	Corsican		cos	cos	
h	cym	Welsh		cym	cym	
h	dan	Danish		dan	dan	
h	deu	German		deu	deu	
h	div	Maldivian				https://dv.wikipedia.org/
h	ell	Modern Greek (1453-)		ell	ell	
h	eng	English	3	eng	eng	
h	epo	Esperanto		epo	epo	
h	est	Estonian		est	est	
h	eus	Basque		eus	eus	
h	fao	Faroese		fao	fao	
h	fas	Persian		fas	pes	
h	fin	Finnish		fin	fin	
h	fra	French		fra	fra	
h	fry	Western Frisian		fry	fry	
h	gla	Scottish Gaelic		gla	gla	
h	gle	Irish		gle	gle	
h	glg	Galician		glg	glg	
h	gom	Konkani				https://gom.wikipedia.org/
h	gsw	Swiss German			gsw	
h	grn	Guarani			grn	https://gn.wikipedia.org/
h	guj	Gujarati		guj	guj	
h	hat	Haitian		hat	hat	
h	haw	Hawaiian			haw	
h	hbs	Serbo-Croatian		hbs	srp	
h	heb	Hebrew		heb	heb	
h	hif	Fiji Hindi		hif	hif	
h	hin	Hindi	4	hin	hin	
h	hrv	Croatian		hrv	hrv	
h	hsb	Upper Sorbian		hsb	hsb	
h	hun	Hungarian		hun	hun	
h	hye	Armenian		hye	hye	
h	ido	Ido		ido	ido	
h	ilo	Ilocano			ilo	
h	ina	Interlingua		ina	ina	
h	ind	Indonesian		ind	ind	
h	isl	Icelandic		isl	isl	
h	ita	Italian		ita	ita	
h	jav	Javanese		jav	jav	
h	jpn	Japanese	8	jpn	jpn	
h	kal	Greenlandic			kal	
h	kan	Kannada		kan	kan	
h	kas	Kashmiri			kas	
h	kat	Georgian		kat	kat	
h	kaz	Kazakh		kaz	kaz	
h	khm	Khmer			khm	
h	kir	Kyrgyz			kir	
h	kor	Korean		kor	kor	
h	kur	Kurdish		kur	kur	
h	lat	Latin		lat	lat	
h	lav	Latvian		lav	lvs	
h	lim	Limburgan		lim		
h	lit	Lithuanian		lit	lit	
h	lmo	Lombard		lmo	lmo	
h	ltz	Luxembourgish		ltz	ltz	
h	lug	Luganda			lug	
h	lus	Mizo				https://incubator.wikimedia.org/wiki/Wp/lus/Phekpui
h	mal	Malayalam		mal	mal	
h	mar	Marathi	10	mar	mar	
h	min	Minangkabau			min	
h	mkd	Macedonian		mkd	mkd	
h	mlg	Malagasy		mlg	mlg	
h	mlt	Maltese			mlt	
h	mon	Mongolian		mon	mon	
h	mri	Maori		mri	mri	
h	msa	Malay		msa	zsm	
h	mya	Burmese		mya	mya	
h	nds	Low German		nds	nds	
h	nep	Nepali		nep	npi	
h	new	Newari		new		
h	nld	Dutch		nld	nld	
h	nno	Norwegian Nynorsk		nno	nno	
h	nob	Norwegian Bokmål		nor	nob	
h	nso	Northern Sotho				https://nso.wikipedia.org/
h	oci	Occitan		oci	oci	
h	ori	Odia			ori	
h	oss	Ossetian		oss	oss	
h	pam	Pampanga		pam	pam	
h	pan	Indian Punjabi			pan	
h	pms	Piemontese		pms	pms	
h	pnb	Pakistani Punjabi	9		pnb	
h	pol	Polish		pol	pol	
h	por	Portuguese	6	por	por	
h	pus	Pashto			pus	
h	que	Quechua		que	que	
h	roh	Romansh			roh	
h	ron	Romanian		ron	ron	
h	rus	Russian	7	rus	rus	
h	san	Sanskrit			san	
h	sah	Yakut		sah	sah	
h	scn	Sicilian		scn	scn	
h	sin	Sinhala			sin	
h	sco	Scots		sco	sco	
h	slk	Slovak		slk	slk	
h	slv	Slovenian		slv	slv	
h	sna	Shona			sna	
h	som	Somali			som	
h	spa	Spanish	2	spa	spa	
h	sqi	Albanian		sqi	sqi	
h	srp	Serbian		srp	srp	
h	sun	Sundanese		sun	sun	
h	swa	Swahili		swa	swh	
h	swe	Swedish		swe	swe	
h	tam	Tamil		tam	tam	
h	tat	Tatar		tat	tat	
h	tel	Telugu	11	tel	tel	
h	tgk	Tajik		tgk	tgk	
h	tgl	Tagalog		tgl	tgl	
h	tha	Thai		tha	tha	
h	ton	Tongan			ton	
h	tur	Turkish	13	tur	tur	
h	tlh	Klingon			tlh	
h	uig	Uyghur			uig	
h	ukr	Ukrainian		ukr	ukr	
h	urd	Urdu		urd	urd	
h	uzb	Uzbek		uzb	uzb	
h	vec	Venetian		vec	vec	
h	vie	Vietnamese		vie	vie	
h	vol	Volapük		vol	vol	
h	war	Waray		war	war	
h	wln	Walloon		wln	wln	
h	xho	Xhosa			xho	
h	yid	Yiddish		yid	yid	
h	yor	Yoruba		yor	yor	
h	cmn-hans	Mandarin Chinese (simplified)	1	zho	cmn	
h	cmn-hant	Mandarin Chinese (traditional)	1	zho	cmn	
h	zul	Zulu			zul	
p	c	C				
p	cpp	C++				
p	cs	C#				
p	css	CSS				
p	go	Go				
p	hs	Haskell				
p	html	HTML				
p	java	Java				
p	js	JavaScript				
p	m	Objective C
p	php	PHP				
p	py	Python				
p	rb	Ruby				
p	rs	Rust				
p	scala	Scala				
p	sh	Shell Script				
p	swift	Swift				
p	ts	TypeScript				
p	xml	XML				
